name,type,value,date
BeiJing,,436,2020/3/13
Chongqing,,576,2020/3/13
AnHui,,990,2020/3/13
Fujian,,296,2020/3/14
BeiJing,,437,2020/3/14
Chongqing,,576,2020/3/14
AnHui,,990,2020/3/14
Fujian,,296,2020/3/15
BeiJing,,442,2020/3/15
Chongqing,,576,2020/3/15
AnHui,,990,2020/3/15
Fujian,,296,2020/3/16
BeiJing,,452,2020/3/16
Chongqing,,576,2020/3/16
AnHui,,990,2020/3/16
Fujian,,296,2020/3/17
BeiJing,,456,2020/3/17
Chongqing,,576,2020/3/17
AnHui,,990,2020/3/17
Fujian,,296,2020/3/18
BeiJing,,469,2020/3/18
Chongqing,,576,2020/3/18
AnHui,,990,2020/3/18
Fujian,,296,2020/3/19
BeiJing,,480,2020/3/19
Chongqing,,576,2020/3/19
AnHui,,990,2020/3/19
Fujian,,299,2020/3/20
BeiJing,,491,2020/3/20
Chongqing,,576,2020/3/20
AnHui,,990,2020/3/20
Fujian,,303,2020/3/21
BeiJing,,504,2020/3/21
Chongqing,,576,2020/3/21
AnHui,,990,2020/3/21
Fujian,,313,2020/3/22
BeiJing,,522,2020/3/22
Chongqing,,577,2020/3/22
AnHui,,990,2020/3/22
Fujian,,313,2020/3/23
BeiJing,,537,2020/3/23
Chongqing,,578,2020/3/23
AnHui,,990,2020/3/23
Fujian,,318,2020/3/24
BeiJing,,558,2020/3/24
Chongqing,,578,2020/3/24
AnHui,,990,2020/3/24
Fujian,,322,2020/3/25
BeiJing,,561,2020/3/25
Chongqing,,578,2020/3/25
AnHui,,990,2020/3/25
Fujian,,328,2020/3/26
BeiJing,,566,2020/3/26
Chongqing,,578,2020/3/26
AnHui,,990,2020/3/26
Fujian,,331,2020/3/27
BeiJing,,569,2020/3/27
Chongqing,,578,2020/3/27
AnHui,,990,2020/3/27
Fujian,,337,2020/3/28
BeiJing,,573,2020/3/28
Chongqing,,578,2020/3/28
AnHui,,990,2020/3/28
Fujian,,338,2020/3/29
BeiJing,,577,2020/3/29
Chongqing,,579,2020/3/29
AnHui,,990,2020/3/29
Fujian,,340,2020/3/30
BeiJing,,577,2020/3/30
Chongqing,,579,2020/3/30
AnHui,,990,2020/3/30
Fujian,,343,2020/3/31
Chongqing,,579,2020/3/31
BeiJing,,580,2020/3/31
AnHui,,990,2020/3/31
Fujian,,345,2020/4/1
Chongqing,,579,2020/4/1
BeiJing,,580,2020/4/1
AnHui,,990,2020/4/1
Fujian,,345,2020/4/2
Chongqing,,579,2020/4/2
BeiJing,,582,2020/4/2
AnHui,,990,2020/4/2
Fujian,,349,2020/4/3
Chongqing,,579,2020/4/3
BeiJing,,584,2020/4/3
AnHui,,990,2020/4/3
Fujian,,350,2020/4/4
Chongqing,,579,2020/4/4
BeiJing,,585,2020/4/4
AnHui,,990,2020/4/4
Fujian,,350,2020/4/5
Chongqing,,579,2020/4/5
BeiJing,,586,2020/4/5
AnHui,,990,2020/4/5
Fujian,,350,2020/4/6
Chongqing,,579,2020/4/6
BeiJing,,587,2020/4/6
AnHui,,990,2020/4/6
Fujian,,351,2020/4/7
Chongqing,,579,2020/4/7
BeiJing,,587,2020/4/7
AnHui,,990,2020/4/7
Fujian,,351,2020/4/8
Chongqing,,579,2020/4/8
BeiJing,,588,2020/4/8
AnHui,,990,2020/4/8
Fujian,,351,2020/4/9
Chongqing,,579,2020/4/9
BeiJing,,588,2020/4/9
AnHui,,991,2020/4/9
Fujian,,351,2020/4/10
Chongqing,,579,2020/4/10
BeiJing,,588,2020/4/10
AnHui,,991,2020/4/10
Fujian,,351,2020/4/11
Chongqing,,579,2020/4/11
BeiJing,,589,2020/4/11
AnHui,,991,2020/4/11
Fujian,,352,2020/4/12
Chongqing,,579,2020/4/12
BeiJing,,589,2020/4/12
AnHui,,991,2020/4/12
Fujian,,352,2020/4/13
Chongqing,,579,2020/4/13
BeiJing,,589,2020/4/13
AnHui,,991,2020/4/13
Fujian,,353,2020/4/14
Chongqing,,579,2020/4/14
BeiJing,,589,2020/4/14
AnHui,,991,2020/4/14
Fujian,,353,2020/4/15
Chongqing,,579,2020/4/15
BeiJing,,590,2020/4/15
AnHui,,991,2020/4/15
Fujian,,353,2020/4/16
Chongqing,,579,2020/4/16
BeiJing,,593,2020/4/16
AnHui,,991,2020/4/16
Fujian,,354,2020/4/17
Chongqing,,579,2020/4/17
BeiJing,,593,2020/4/17
AnHui,,991,2020/4/17
Fujian,,355,2020/4/18
Chongqing,,579,2020/4/18
BeiJing,,593,2020/4/18
AnHui,,991,2020/4/18
Fujian,,355,2020/4/19
Chongqing,,579,2020/4/19
BeiJing,,593,2020/4/19
AnHui,,991,2020/4/19
Fujian,,355,2020/4/20
Chongqing,,579,2020/4/20
BeiJing,,593,2020/4/20
AnHui,,991,2020/4/20
Fujian,,355,2020/4/21
Chongqing,,579,2020/4/21
BeiJing,,593,2020/4/21
AnHui,,991,2020/4/21
