name,value,date
AnHui,1,2020/1/22
AnHui,9,2020/1/23
AnHui,15,2020/1/24
AnHui,39,2020/1/25
AnHui,60,2020/1/26
AnHui,70,2020/1/27
AnHui,106,2020/1/28
AnHui,152,2020/1/29
AnHui,200,2020/1/30
AnHui,237,2020/1/31
AnHui,297,2020/2/1
AnHui,340,2020/2/2
AnHui,408,2020/2/3
AnHui,480,2020/2/4
AnHui,530,2020/2/5
AnHui,591,2020/2/6
AnHui,665,2020/2/7
AnHui,733,2020/2/8
AnHui,779,2020/2/9
AnHui,830,2020/2/10
AnHui,860,2020/2/11
AnHui,889,2020/2/12
AnHui,910,2020/2/13
AnHui,934,2020/2/14
AnHui,950,2020/2/15
AnHui,962,2020/2/16
AnHui,973,2020/2/17
AnHui,982,2020/2/18
AnHui,986,2020/2/19
AnHui,987,2020/2/20
AnHui,988,2020/2/21
AnHui,989,2020/2/22
AnHui,989,2020/2/23
AnHui,989,2020/2/24
AnHui,989,2020/2/25
AnHui,989,2020/2/26
AnHui,989,2020/2/27
AnHui,990,2020/2/28
AnHui,990,2020/2/29
AnHui,990,2020/3/1
AnHui,990,2020/3/2
AnHui,990,2020/3/3
AnHui,990,2020/3/4
AnHui,990,2020/3/5
AnHui,990,2020/3/6
AnHui,990,2020/3/7
AnHui,990,2020/3/8
AnHui,990,2020/3/9
AnHui,990,2020/3/10
AnHui,990,2020/3/11
AnHui,990,2020/3/12
AnHui,990,2020/3/13
AnHui,990,2020/3/14
AnHui,990,2020/3/15
AnHui,990,2020/3/16
AnHui,990,2020/3/17
AnHui,990,2020/3/18
AnHui,990,2020/3/19
AnHui,990,2020/3/20
AnHui,990,2020/3/21
AnHui,990,2020/3/22
AnHui,990,2020/3/23
AnHui,990,2020/3/24
AnHui,990,2020/3/25
AnHui,990,2020/3/26
AnHui,990,2020/3/27
AnHui,990,2020/3/28
AnHui,990,2020/3/29
AnHui,990,2020/3/30
AnHui,990,2020/3/31
AnHui,990,2020/4/1
AnHui,990,2020/4/2
AnHui,990,2020/4/3
AnHui,990,2020/4/4
AnHui,990,2020/4/5
AnHui,990,2020/4/6
AnHui,990,2020/4/7
AnHui,990,2020/4/8
AnHui,991,2020/4/9
AnHui,991,2020/4/10
AnHui,991,2020/4/11
AnHui,991,2020/4/12
AnHui,991,2020/4/13
AnHui,991,2020/4/14
AnHui,991,2020/4/15
AnHui,991,2020/4/16
AnHui,991,2020/4/17
AnHui,991,2020/4/18
AnHui,991,2020/4/19
AnHui,991,2020/4/20
AnHui,991,2020/4/21
BeiJing,14,2020/1/22
BeiJing,22,2020/1/23
BeiJing,36,2020/1/24
BeiJing,41,2020/1/25
BeiJing,68,2020/1/26
BeiJing,80,2020/1/27
BeiJing,91,2020/1/28
BeiJing,111,2020/1/29
BeiJing,114,2020/1/30
BeiJing,139,2020/1/31
BeiJing,168,2020/2/1
BeiJing,191,2020/2/2
BeiJing,212,2020/2/3
BeiJing,228,2020/2/4
BeiJing,253,2020/2/5
BeiJing,274,2020/2/6
BeiJing,297,2020/2/7
BeiJing,315,2020/2/8
BeiJing,326,2020/2/9
BeiJing,337,2020/2/10
BeiJing,342,2020/2/11
BeiJing,352,2020/2/12
BeiJing,366,2020/2/13
BeiJing,372,2020/2/14
BeiJing,375,2020/2/15
BeiJing,380,2020/2/16
BeiJing,381,2020/2/17
BeiJing,387,2020/2/18
BeiJing,393,2020/2/19
BeiJing,395,2020/2/20
BeiJing,396,2020/2/21
BeiJing,399,2020/2/22
BeiJing,399,2020/2/23
BeiJing,399,2020/2/24
BeiJing,400,2020/2/25
BeiJing,400,2020/2/26
BeiJing,410,2020/2/27
BeiJing,410,2020/2/28
BeiJing,411,2020/2/29
BeiJing,413,2020/3/1
BeiJing,414,2020/3/2
BeiJing,414,2020/3/3
BeiJing,418,2020/3/4
BeiJing,418,2020/3/5
BeiJing,422,2020/3/6
BeiJing,426,2020/3/7
BeiJing,428,2020/3/8
BeiJing,428,2020/3/9
BeiJing,429,2020/3/10
BeiJing,435,2020/3/11
BeiJing,435,2020/3/12
BeiJing,436,2020/3/13
BeiJing,437,2020/3/14
BeiJing,442,2020/3/15
BeiJing,452,2020/3/16
BeiJing,456,2020/3/17
BeiJing,469,2020/3/18
BeiJing,480,2020/3/19
BeiJing,491,2020/3/20
BeiJing,504,2020/3/21
BeiJing,522,2020/3/22
BeiJing,537,2020/3/23
BeiJing,558,2020/3/24
BeiJing,561,2020/3/25
BeiJing,566,2020/3/26
BeiJing,569,2020/3/27
BeiJing,573,2020/3/28
BeiJing,577,2020/3/29
BeiJing,577,2020/3/30
BeiJing,580,2020/3/31
BeiJing,580,2020/4/1
BeiJing,582,2020/4/2
BeiJing,584,2020/4/3
BeiJing,585,2020/4/4
BeiJing,586,2020/4/5
BeiJing,587,2020/4/6
BeiJing,587,2020/4/7
BeiJing,588,2020/4/8
BeiJing,588,2020/4/9
BeiJing,588,2020/4/10
BeiJing,589,2020/4/11
BeiJing,589,2020/4/12
BeiJing,589,2020/4/13
BeiJing,589,2020/4/14
BeiJing,590,2020/4/15
BeiJing,593,2020/4/16
BeiJing,593,2020/4/17
BeiJing,593,2020/4/18
BeiJing,593,2020/4/19
BeiJing,593,2020/4/20
BeiJing,593,2020/4/21
Chongqing,6,2020/1/22
Chongqing,9,2020/1/23
Chongqing,27,2020/1/24
Chongqing,57,2020/1/25
Chongqing,75,2020/1/26
Chongqing,110,2020/1/27
Chongqing,132,2020/1/28
Chongqing,147,2020/1/29
Chongqing,182,2020/1/30
Chongqing,211,2020/1/31
Chongqing,247,2020/2/1
Chongqing,300,2020/2/2
Chongqing,337,2020/2/3
Chongqing,366,2020/2/4
Chongqing,389,2020/2/5
Chongqing,411,2020/2/6
Chongqing,426,2020/2/7
Chongqing,428,2020/2/8
Chongqing,468,2020/2/9
Chongqing,486,2020/2/10
Chongqing,505,2020/2/11
Chongqing,518,2020/2/12
Chongqing,529,2020/2/13
Chongqing,537,2020/2/14
Chongqing,544,2020/2/15
Chongqing,551,2020/2/16
Chongqing,553,2020/2/17
Chongqing,555,2020/2/18
Chongqing,560,2020/2/19
Chongqing,567,2020/2/20
Chongqing,572,2020/2/21
Chongqing,573,2020/2/22
Chongqing,575,2020/2/23
Chongqing,576,2020/2/24
Chongqing,576,2020/2/25
Chongqing,576,2020/2/26
Chongqing,576,2020/2/27
Chongqing,576,2020/2/28
Chongqing,576,2020/2/29
Chongqing,576,2020/3/1
Chongqing,576,2020/3/2
Chongqing,576,2020/3/3
Chongqing,576,2020/3/4
Chongqing,576,2020/3/5
Chongqing,576,2020/3/6
Chongqing,576,2020/3/7
Chongqing,576,2020/3/8
Chongqing,576,2020/3/9
Chongqing,576,2020/3/10
Chongqing,576,2020/3/11
Chongqing,576,2020/3/12
Chongqing,576,2020/3/13
Chongqing,576,2020/3/14
Chongqing,576,2020/3/15
Chongqing,576,2020/3/16
Chongqing,576,2020/3/17
Chongqing,576,2020/3/18
Chongqing,576,2020/3/19
Chongqing,576,2020/3/20
Chongqing,576,2020/3/21
Chongqing,577,2020/3/22
Chongqing,578,2020/3/23
Chongqing,578,2020/3/24
Chongqing,578,2020/3/25
Chongqing,578,2020/3/26
Chongqing,578,2020/3/27
Chongqing,578,2020/3/28
Chongqing,579,2020/3/29
Chongqing,579,2020/3/30
Chongqing,579,2020/3/31
Chongqing,579,2020/4/1
Chongqing,579,2020/4/2
Chongqing,579,2020/4/3
Chongqing,579,2020/4/4
Chongqing,579,2020/4/5
Chongqing,579,2020/4/6
Chongqing,579,2020/4/7
Chongqing,579,2020/4/8
Chongqing,579,2020/4/9
Chongqing,579,2020/4/10
Chongqing,579,2020/4/11
Chongqing,579,2020/4/12
Chongqing,579,2020/4/13
Chongqing,579,2020/4/14
Chongqing,579,2020/4/15
Chongqing,579,2020/4/16
Chongqing,579,2020/4/17
Chongqing,579,2020/4/18
Chongqing,579,2020/4/19
Chongqing,579,2020/4/20
Chongqing,579,2020/4/21
Fujian,1,2020/1/22
Fujian,5,2020/1/23
Fujian,10,2020/1/24
Fujian,18,2020/1/25
Fujian,35,2020/1/26
Fujian,59,2020/1/27
Fujian,80,2020/1/28
Fujian,84,2020/1/29
Fujian,101,2020/1/30
Fujian,120,2020/1/31
Fujian,144,2020/2/1
Fujian,159,2020/2/2
Fujian,179,2020/2/3
Fujian,194,2020/2/4
Fujian,205,2020/2/5
Fujian,215,2020/2/6
Fujian,224,2020/2/7
Fujian,239,2020/2/8
Fujian,250,2020/2/9
Fujian,261,2020/2/10
Fujian,267,2020/2/11
Fujian,272,2020/2/12
Fujian,279,2020/2/13
Fujian,281,2020/2/14
Fujian,285,2020/2/15
Fujian,287,2020/2/16
Fujian,290,2020/2/17
Fujian,292,2020/2/18
Fujian,293,2020/2/19
Fujian,293,2020/2/20
Fujian,293,2020/2/21
Fujian,293,2020/2/22
Fujian,293,2020/2/23
Fujian,293,2020/2/24
Fujian,294,2020/2/25
Fujian,294,2020/2/26
Fujian,296,2020/2/27
Fujian,296,2020/2/28
Fujian,296,2020/2/29
Fujian,296,2020/3/1
Fujian,296,2020/3/2
Fujian,296,2020/3/3
Fujian,296,2020/3/4
Fujian,296,2020/3/5
Fujian,296,2020/3/6
Fujian,296,2020/3/7
Fujian,296,2020/3/8
Fujian,296,2020/3/9
Fujian,296,2020/3/10
Fujian,296,2020/3/11
Fujian,296,2020/3/12
Fujian,296,2020/3/13
Fujian,296,2020/3/14
Fujian,296,2020/3/15
Fujian,296,2020/3/16
Fujian,296,2020/3/17
Fujian,296,2020/3/18
Fujian,296,2020/3/19
Fujian,299,2020/3/20
Fujian,303,2020/3/21
Fujian,313,2020/3/22
Fujian,313,2020/3/23
Fujian,318,2020/3/24
Fujian,322,2020/3/25
Fujian,328,2020/3/26
Fujian,331,2020/3/27
Fujian,337,2020/3/28
Fujian,338,2020/3/29
Fujian,340,2020/3/30
Fujian,343,2020/3/31
Fujian,345,2020/4/1
Fujian,345,2020/4/2
Fujian,349,2020/4/3
Fujian,350,2020/4/4
Fujian,350,2020/4/5
Fujian,350,2020/4/6
Fujian,351,2020/4/7
Fujian,351,2020/4/8
Fujian,351,2020/4/9
Fujian,351,2020/4/10
Fujian,351,2020/4/11
Fujian,352,2020/4/12
Fujian,352,2020/4/13
Fujian,353,2020/4/14
Fujian,353,2020/4/15
Fujian,353,2020/4/16
Fujian,354,2020/4/17
Fujian,355,2020/4/18
Fujian,355,2020/4/19
Fujian,355,2020/4/20
Fujian,355,2020/4/21
Gansu,0,2020/1/22
Gansu,2,2020/1/23
Gansu,2,2020/1/24
Gansu,4,2020/1/25
Gansu,7,2020/1/26
Gansu,14,2020/1/27
Gansu,19,2020/1/28
Gansu,24,2020/1/29
Gansu,26,2020/1/30
Gansu,29,2020/1/31
Gansu,40,2020/2/1
Gansu,51,2020/2/2
Gansu,55,2020/2/3
Gansu,57,2020/2/4
Gansu,62,2020/2/5
Gansu,62,2020/2/6
Gansu,67,2020/2/7
Gansu,79,2020/2/8
Gansu,83,2020/2/9
Gansu,83,2020/2/10
Gansu,86,2020/2/11
Gansu,87,2020/2/12
Gansu,90,2020/2/13
Gansu,90,2020/2/14
Gansu,90,2020/2/15
Gansu,90,2020/2/16
Gansu,91,2020/2/17
Gansu,91,2020/2/18
Gansu,91,2020/2/19
Gansu,91,2020/2/20
Gansu,91,2020/2/21
Gansu,91,2020/2/22
Gansu,91,2020/2/23
Gansu,91,2020/2/24
Gansu,91,2020/2/25
Gansu,91,2020/2/26
Gansu,91,2020/2/27
Gansu,91,2020/2/28
Gansu,91,2020/2/29
Gansu,91,2020/3/1
Gansu,91,2020/3/2
Gansu,91,2020/3/3
Gansu,91,2020/3/4
Gansu,102,2020/3/5
Gansu,119,2020/3/6
Gansu,120,2020/3/7
Gansu,124,2020/3/8
Gansu,124,2020/3/9
Gansu,125,2020/3/10
Gansu,127,2020/3/11
Gansu,127,2020/3/12
Gansu,127,2020/3/13
Gansu,129,2020/3/14
Gansu,133,2020/3/15
Gansu,133,2020/3/16
Gansu,133,2020/3/17
Gansu,133,2020/3/18
Gansu,134,2020/3/19
Gansu,134,2020/3/20
Gansu,134,2020/3/21
Gansu,136,2020/3/22
Gansu,136,2020/3/23
Gansu,136,2020/3/24
Gansu,136,2020/3/25
Gansu,136,2020/3/26
Gansu,136,2020/3/27
Gansu,136,2020/3/28
Gansu,138,2020/3/29
Gansu,138,2020/3/30
Gansu,138,2020/3/31
Gansu,138,2020/4/1
Gansu,138,2020/4/2
Gansu,138,2020/4/3
Gansu,138,2020/4/4
Gansu,138,2020/4/5
Gansu,139,2020/4/6
Gansu,139,2020/4/7
Gansu,139,2020/4/8
Gansu,139,2020/4/9
Gansu,139,2020/4/10
Gansu,139,2020/4/11
Gansu,139,2020/4/12
Gansu,139,2020/4/13
Gansu,139,2020/4/14
Gansu,139,2020/4/15
Gansu,139,2020/4/16
Gansu,139,2020/4/17
Gansu,139,2020/4/18
Gansu,139,2020/4/19
Gansu,139,2020/4/20
Gansu,139,2020/4/21
Guangdong,26,2020/1/22
Guangdong,32,2020/1/23
Guangdong,53,2020/1/24
Guangdong,78,2020/1/25
Guangdong,111,2020/1/26
Guangdong,151,2020/1/27
Guangdong,207,2020/1/28
Guangdong,277,2020/1/29
Guangdong,354,2020/1/30
Guangdong,436,2020/1/31
Guangdong,535,2020/2/1
Guangdong,632,2020/2/2
Guangdong,725,2020/2/3
Guangdong,813,2020/2/4
Guangdong,895,2020/2/5
Guangdong,970,2020/2/6
Guangdong,1034,2020/2/7
Guangdong,1095,2020/2/8
Guangdong,1131,2020/2/9
Guangdong,1159,2020/2/10
Guangdong,1177,2020/2/11
Guangdong,1219,2020/2/12
Guangdong,1241,2020/2/13
Guangdong,1261,2020/2/14
Guangdong,1294,2020/2/15
Guangdong,1316,2020/2/16
Guangdong,1322,2020/2/17
Guangdong,1328,2020/2/18
Guangdong,1331,2020/2/19
Guangdong,1332,2020/2/20
Guangdong,1333,2020/2/21
Guangdong,1339,2020/2/22
Guangdong,1342,2020/2/23
Guangdong,1345,2020/2/24
Guangdong,1347,2020/2/25
Guangdong,1347,2020/2/26
Guangdong,1347,2020/2/27
Guangdong,1348,2020/2/28
Guangdong,1349,2020/2/29
Guangdong,1349,2020/3/1
Guangdong,1350,2020/3/2
Guangdong,1350,2020/3/3
Guangdong,1350,2020/3/4
Guangdong,1351,2020/3/5
Guangdong,1352,2020/3/6
Guangdong,1352,2020/3/7
Guangdong,1352,2020/3/8
Guangdong,1352,2020/3/9
Guangdong,1353,2020/3/10
Guangdong,1356,2020/3/11
Guangdong,1356,2020/3/12
Guangdong,1356,2020/3/13
Guangdong,1356,2020/3/14
Guangdong,1360,2020/3/15
Guangdong,1361,2020/3/16
Guangdong,1364,2020/3/17
Guangdong,1370,2020/3/18
Guangdong,1378,2020/3/19
Guangdong,1395,2020/3/20
Guangdong,1400,2020/3/21
Guangdong,1413,2020/3/22
Guangdong,1415,2020/3/23
Guangdong,1428,2020/3/24
Guangdong,1433,2020/3/25
Guangdong,1448,2020/3/26
Guangdong,1456,2020/3/27
Guangdong,1467,2020/3/28
Guangdong,1475,2020/3/29
Guangdong,1484,2020/3/30
Guangdong,1494,2020/3/31
Guangdong,1501,2020/4/1
Guangdong,1507,2020/4/2
Guangdong,1514,2020/4/3
Guangdong,1516,2020/4/4
Guangdong,1524,2020/4/5
Guangdong,1532,2020/4/6
Guangdong,1533,2020/4/7
Guangdong,1536,2020/4/8
Guangdong,1539,2020/4/9
Guangdong,1544,2020/4/10
Guangdong,1548,2020/4/11
Guangdong,1552,2020/4/12
Guangdong,1555,2020/4/13
Guangdong,1564,2020/4/14
Guangdong,1566,2020/4/15
Guangdong,1571,2020/4/16
Guangdong,1577,2020/4/17
Guangdong,1579,2020/4/18
Guangdong,1580,2020/4/19
Guangdong,1581,2020/4/20
Guangdong,1582,2020/4/21
Guangxi,2,2020/1/22
Guangxi,5,2020/1/23
Guangxi,23,2020/1/24
Guangxi,23,2020/1/25
Guangxi,36,2020/1/26
Guangxi,46,2020/1/27
Guangxi,51,2020/1/28
Guangxi,58,2020/1/29
Guangxi,78,2020/1/30
Guangxi,87,2020/1/31
Guangxi,100,2020/2/1
Guangxi,111,2020/2/2
Guangxi,127,2020/2/3
Guangxi,139,2020/2/4
Guangxi,150,2020/2/5
Guangxi,168,2020/2/6
Guangxi,172,2020/2/7
Guangxi,183,2020/2/8
Guangxi,195,2020/2/9
Guangxi,210,2020/2/10
Guangxi,215,2020/2/11
Guangxi,222,2020/2/12
Guangxi,222,2020/2/13
Guangxi,226,2020/2/14
Guangxi,235,2020/2/15
Guangxi,237,2020/2/16
Guangxi,238,2020/2/17
Guangxi,242,2020/2/18
Guangxi,244,2020/2/19
Guangxi,245,2020/2/20
Guangxi,246,2020/2/21
Guangxi,249,2020/2/22
Guangxi,249,2020/2/23
Guangxi,251,2020/2/24
Guangxi,252,2020/2/25
Guangxi,252,2020/2/26
Guangxi,252,2020/2/27
Guangxi,252,2020/2/28
Guangxi,252,2020/2/29
Guangxi,252,2020/3/1
Guangxi,252,2020/3/2
Guangxi,252,2020/3/3
Guangxi,252,2020/3/4
Guangxi,252,2020/3/5
Guangxi,252,2020/3/6
Guangxi,252,2020/3/7
Guangxi,252,2020/3/8
Guangxi,252,2020/3/9
Guangxi,252,2020/3/10
Guangxi,252,2020/3/11
Guangxi,252,2020/3/12
Guangxi,252,2020/3/13
Guangxi,252,2020/3/14
Guangxi,252,2020/3/15
Guangxi,252,2020/3/16
Guangxi,253,2020/3/17
Guangxi,253,2020/3/18
Guangxi,253,2020/3/19
Guangxi,254,2020/3/20
Guangxi,254,2020/3/21
Guangxi,254,2020/3/22
Guangxi,254,2020/3/23
Guangxi,254,2020/3/24
Guangxi,254,2020/3/25
Guangxi,254,2020/3/26
Guangxi,254,2020/3/27
Guangxi,254,2020/3/28
Guangxi,254,2020/3/29
Guangxi,254,2020/3/30
Guangxi,254,2020/3/31
Guangxi,254,2020/4/1
Guangxi,254,2020/4/2
Guangxi,254,2020/4/3
Guangxi,254,2020/4/4
Guangxi,254,2020/4/5
Guangxi,254,2020/4/6
Guangxi,254,2020/4/7
Guangxi,254,2020/4/8
Guangxi,254,2020/4/9
Guangxi,254,2020/4/10
Guangxi,254,2020/4/11
Guangxi,254,2020/4/12
Guangxi,254,2020/4/13
Guangxi,254,2020/4/14
Guangxi,254,2020/4/15
Guangxi,254,2020/4/16
Guangxi,254,2020/4/17
Guangxi,254,2020/4/18
Guangxi,254,2020/4/19
Guangxi,254,2020/4/20
Guangxi,254,2020/4/21
Guizhou,1,2020/1/22
Guizhou,3,2020/1/23
Guizhou,3,2020/1/24
Guizhou,4,2020/1/25
Guizhou,5,2020/1/26
Guizhou,7,2020/1/27
Guizhou,9,2020/1/28
Guizhou,9,2020/1/29
Guizhou,12,2020/1/30
Guizhou,29,2020/1/31
Guizhou,29,2020/2/1
Guizhou,38,2020/2/2
Guizhou,46,2020/2/3
Guizhou,58,2020/2/4
Guizhou,64,2020/2/5
Guizhou,71,2020/2/6
Guizhou,81,2020/2/7
Guizhou,89,2020/2/8
Guizhou,99,2020/2/9
Guizhou,109,2020/2/10
Guizhou,127,2020/2/11
Guizhou,133,2020/2/12
Guizhou,135,2020/2/13
Guizhou,140,2020/2/14
Guizhou,143,2020/2/15
Guizhou,144,2020/2/16
Guizhou,146,2020/2/17
Guizhou,146,2020/2/18
Guizhou,146,2020/2/19
Guizhou,146,2020/2/20
Guizhou,146,2020/2/21
Guizhou,146,2020/2/22
Guizhou,146,2020/2/23
Guizhou,146,2020/2/24
Guizhou,146,2020/2/25
Guizhou,146,2020/2/26
Guizhou,146,2020/2/27
Guizhou,146,2020/2/28
Guizhou,146,2020/2/29
Guizhou,146,2020/3/1
Guizhou,146,2020/3/2
Guizhou,146,2020/3/3
Guizhou,146,2020/3/4
Guizhou,146,2020/3/5
