name,type,value,date
北京,,387,2020/2/18
北京,,393,2020/2/19
北京,,395,2020/2/20
北京,,396,2020/2/21
北京,,399,2020/2/22
北京,,399,2020/2/23
北京,,399,2020/2/24
北京,,400,2020/2/25
北京,,400,2020/2/26
北京,,410,2020/2/27
北京,,410,2020/2/28
北京,,411,2020/2/29
北京,,413,2020/3/1
北京,,414,2020/3/2
北京,,414,2020/3/3
北京,,418,2020/3/4
北京,,418,2020/3/5
北京,,422,2020/3/6
北京,,426,2020/3/7
北京,,428,2020/3/8
北京,,428,2020/3/9
北京,,429,2020/3/10
北京,,435,2020/3/11
北京,,435,2020/3/12
北京,,436,2020/3/13
北京,,437,2020/3/14
北京,,442,2020/3/15
北京,,452,2020/3/16
北京,,456,2020/3/17
北京,,469,2020/3/18
北京,,480,2020/3/19
北京,,491,2020/3/20
北京,,504,2020/3/21
北京,,522,2020/3/22
北京,,537,2020/3/23
北京,,558,2020/3/24
北京,,561,2020/3/25
北京,,566,2020/3/26
北京,,569,2020/3/27
北京,,573,2020/3/28
北京,,577,2020/3/29
北京,,577,2020/3/30
北京,,580,2020/3/31
北京,,580,2020/4/1
北京,,582,2020/4/2
北京,,584,2020/4/3
北京,,585,2020/4/4
北京,,586,2020/4/5
北京,,587,2020/4/6
北京,,587,2020/4/7
北京,,588,2020/4/8
北京,,588,2020/4/9
北京,,588,2020/4/10
北京,,589,2020/4/11
北京,,589,2020/4/12
北京,,589,2020/4/13
北京,,589,2020/4/14
北京,,590,2020/4/15
北京,,593,2020/4/16
北京,,593,2020/4/17
北京,,593,2020/4/18
北京,,593,2020/4/19
北京,,593,2020/4/20
北京,,593,2020/4/21
重庆,,6,2020/1/22
重庆,,9,2020/1/23
重庆,,27,2020/1/24
重庆,,57,2020/1/25
重庆,,75,2020/1/26
重庆,,110,2020/1/27
重庆,,132,2020/1/28
重庆,,147,2020/1/29
重庆,,182,2020/1/30
重庆,,211,2020/1/31
重庆,,247,2020/2/1
重庆,,300,2020/2/2
重庆,,337,2020/2/3
重庆,,366,2020/2/4
重庆,,389,2020/2/5
重庆,,411,2020/2/6
重庆,,426,2020/2/7
重庆,,428,2020/2/8
重庆,,468,2020/2/9
重庆,,486,2020/2/10
重庆,,505,2020/2/11
重庆,,518,2020/2/12
重庆,,529,2020/2/13
重庆,,537,2020/2/14
重庆,,544,2020/2/15
