name,value,date
Heilongjiang,33,2020/1/28
Henan,168,2020/1/28
Hong Kong,8,2020/1/28
Hubei,3474,2020/1/28
Hunan,143,2020/1/28
Inner Mongolia,15,2020/1/28
Jiangsu,69,2020/1/28
Jiangxi,106,2020/1/28
Jilin,8,2020/1/28
Liaoning,34,2020/1/28
Macau,7,2020/1/28
Ningxia,11,2020/1/28
Qinghai,6,2020/1/28
Shaanxi,46,2020/1/28
Shandong,95,2020/1/28
Shanghai,62,2020/1/28
Shanxi,27,2020/1/28
Sichuan,90,2020/1/28
Tianjin,24,2020/1/28
Tibet,0,2020/1/28
Xinjiang,10,2020/1/28
Yunnan,44,2020/1/28
Zhejiang,170,2020/1/28
Taiwan,8,2020/1/28
AnHui,150,2020/1/29
BeiJing,107,2020/1/29
Chongqing,146,2020/1/29
Fujian,84,2020/1/29
Gansu,24,2020/1/29
Guangdong,272,2020/1/29
Guangxi,56,2020/1/29
Guizhou,8,2020/1/29
Hainan,43,2020/1/29
Hebei,48,2020/1/29
Heilongjiang,38,2020/1/29
Henan,205,2020/1/29
Hong Kong,10,2020/1/29
Hubei,3466,2020/1/29
Hunan,221,2020/1/29
Inner Mongolia,16,2020/1/29
Jiangsu,98,2020/1/29
Jiangxi,106,2020/1/29
Jilin,9,2020/1/29
Liaoning,38,2020/1/29
Macau,7,2020/1/29
Ningxia,12,2020/1/29
Qinghai,6,2020/1/29
Shaanxi,56,2020/1/29
Shandong,129,2020/1/29
Shanghai,91,2020/1/29
Shanxi,26,2020/1/29
Sichuan,107,2020/1/29
Tianjin,27,2020/1/29
Tibet,0,2020/1/29
Xinjiang,13,2020/1/29
Yunnan,55,2020/1/29
Zhejiang,293,2020/1/29
Taiwan,8,2020/1/29
AnHui,198,2020/1/30
BeiJing,110,2020/1/30
Chongqing,181,2020/1/30
Fujian,101,2020/1/30
Gansu,26,2020/1/30
Guangdong,344,2020/1/30
Guangxi,76,2020/1/30
Guizhou,11,2020/1/30
Hainan,45,2020/1/30
Hebei,65,2020/1/30
Heilongjiang,44,2020/1/30
Henan,276,2020/1/30
Hong Kong,10,2020/1/30
Hubei,4813,2020/1/30
Hunan,275,2020/1/30
Inner Mongolia,19,2020/1/30
Jiangsu,128,2020/1/30
Jiangxi,157,2020/1/30
Jilin,13,2020/1/30
Liaoning,40,2020/1/30
Macau,7,2020/1/30
Ningxia,17,2020/1/30
Qinghai,8,2020/1/30
Shaanxi,63,2020/1/30
Shandong,157,2020/1/30
Shanghai,107,2020/1/30
Shanxi,34,2020/1/30
Sichuan,141,2020/1/30
Tianjin,31,2020/1/30
Tibet,1,2020/1/30
Xinjiang,14,2020/1/30
Yunnan,70,2020/1/30
Zhejiang,424,2020/1/30
Taiwan,9,2020/1/30
AnHui,234,2020/1/31
BeiJing,134,2020/1/31
Chongqing,210,2020/1/31
Fujian,120,2020/1/31
Gansu,29,2020/1/31
Guangdong,425,2020/1/31
Guangxi,85,2020/1/31
Guizhou,27,2020/1/31
Hainan,51,2020/1/31
Hebei,82,2020/1/31
Heilongjiang,59,2020/1/31
Henan,349,2020/1/31
Hong Kong,12,2020/1/31
Hubei,5665,2020/1/31
Hunan,330,2020/1/31
Inner Mongolia,19,2020/1/31
Jiangsu,163,2020/1/31
Jiangxi,233,2020/1/31
Jilin,13,2020/1/31
Liaoning,47,2020/1/31
Macau,7,2020/1/31
Ningxia,21,2020/1/31
Qinghai,8,2020/1/31
Shaanxi,87,2020/1/31
Shandong,182,2020/1/31
Shanghai,126,2020/1/31
Shanxi,38,2020/1/31
Sichuan,176,2020/1/31
Tianjin,32,2020/1/31
Tibet,1,2020/1/31
Xinjiang,17,2020/1/31
Yunnan,82,2020/1/31
Zhejiang,524,2020/1/31
Taiwan,10,2020/1/31
AnHui,292,2020/2/1
BeiJing,159,2020/2/1
Chongqing,244,2020/2/1
Fujian,144,2020/2/1
Gansu,40,2020/2/1
Guangdong,521,2020/2/1
Guangxi,98,2020/2/1
Guizhou,27,2020/2/1
Hainan,61,2020/2/1
Hebei,96,2020/2/1
Heilongjiang,78,2020/2/1
Henan,419,2020/2/1
Hong Kong,13,2020/2/1
Hubei,6985,2020/2/1
Hunan,381,2020/2/1
Inner Mongolia,22,2020/2/1
Jiangsu,196,2020/2/1
Jiangxi,277,2020/2/1
Jilin,16,2020/2/1
Liaoning,63,2020/2/1
Macau,7,2020/2/1
Ningxia,26,2020/2/1
Qinghai,9,2020/2/1
Shaanxi,101,2020/2/1
Shandong,203,2020/2/1
Shanghai,159,2020/2/1
Shanxi,46,2020/2/1
Sichuan,204,2020/2/1
Tianjin,41,2020/2/1
Tibet,1,2020/2/1
Xinjiang,18,2020/2/1
Yunnan,91,2020/2/1
Zhejiang,578,2020/2/1
Taiwan,10,2020/2/1
AnHui,333,2020/2/2
BeiJing,182,2020/2/2
Chongqing,293,2020/2/2
Fujian,159,2020/2/2
Gansu,48,2020/2/2
Guangdong,617,2020/2/2
Guangxi,109,2020/2/2
Guizhou,36,2020/2/2
Hainan,60,2020/2/2
Hebei,101,2020/2/2
Heilongjiang,93,2020/2/2
Henan,483,2020/2/2
Hong Kong,15,2020/2/2
Hubei,10882,2020/2/2
Hunan,447,2020/2/2
Inner Mongolia,26,2020/2/2
Jiangsu,229,2020/2/2
Jiangxi,321,2020/2/2
Jilin,22,2020/2/2
Liaoning,69,2020/2/2
Macau,8,2020/2/2
Ningxia,28,2020/2/2
Qinghai,11,2020/2/2
Shaanxi,116,2020/2/2
Shandong,224,2020/2/2
Shanghai,172,2020/2/2
Shanxi,63,2020/2/2
Sichuan,220,2020/2/2
Tianjin,47,2020/2/2
Tibet,1,2020/2/2
Xinjiang,21,2020/2/2
Yunnan,102,2020/2/2
Zhejiang,629,2020/2/2
Taiwan,10,2020/2/2
AnHui,394,2020/2/3
BeiJing,200,2020/2/3
Chongqing,328,2020/2/3
Fujian,178,2020/2/3
Gansu,52,2020/2/3
Guangdong,704,2020/2/3
Guangxi,120,2020/2/3
Guizhou,44,2020/2/3
Hainan,68,2020/2/3
Hebei,110,2020/2/3
Heilongjiang,119,2020/2/3
Henan,550,2020/2/3
Hong Kong,15,2020/2/3
Hubei,13136,2020/2/3
Hunan,499,2020/2/3
Inner Mongolia,33,2020/2/3
Jiangsu,263,2020/2/3
Jiangxi,373,2020/2/3
Jilin,30,2020/2/3
Liaoning,73,2020/2/3
Macau,8,2020/2/3
Ningxia,30,2020/2/3
Qinghai,13,2020/2/3
Shaanxi,128,2020/2/3
Shandong,252,2020/2/3
Shanghai,193,2020/2/3
Shanxi,72,2020/2/3
Sichuan,240,2020/2/3
Tianjin,59,2020/2/3
Tibet,1,2020/2/3
Xinjiang,24,2020/2/3
Yunnan,112,2020/2/3
Zhejiang,681,2020/2/3
Taiwan,10,2020/2/3
AnHui,460,2020/2/4
BeiJing,205,2020/2/4
Chongqing,357,2020/2/4
Fujian,191,2020/2/4
Gansu,53,2020/2/4
Guangdong,783,2020/2/4
Guangxi,129,2020/2/4
Guizhou,56,2020/2/4
Hainan,75,2020/2/4
Hebei,122,2020/2/4
Heilongjiang,151,2020/2/4
Henan,648,2020/2/4
Hong Kong,17,2020/2/4
Hubei,16156,2020/2/4
Hunan,562,2020/2/4
Inner Mongolia,34,2020/2/4
Jiangsu,296,2020/2/4
Jiangxi,456,2020/2/4
Jilin,41,2020/2/4
Liaoning,79,2020/2/4
Macau,10,2020/2/4
Ningxia,33,2020/2/4
Qinghai,15,2020/2/4
Shaanxi,140,2020/2/4
Shandong,264,2020/2/4
Shanghai,207,2020/2/4
Shanxi,77,2020/2/4
Sichuan,268,2020/2/4
Tianjin,65,2020/2/4
Tibet,1,2020/2/4
Xinjiang,29,2020/2/4
Yunnan,117,2020/2/4
Zhejiang,767,2020/2/4
Taiwan,11,2020/2/4
AnHui,507,2020/2/5
BeiJing,229,2020/2/5
Chongqing,374,2020/2/5
Fujian,194,2020/2/5
Gansu,56,2020/2/5
Guangdong,846,2020/2/5
Guangxi,137,2020/2/5
Guizhou,55,2020/2/5
Hainan,94,2020/2/5
Hebei,129,2020/2/5
Heilongjiang,183,2020/2/5
Henan,717,2020/2/5
Hong Kong,21,2020/2/5
Hubei,19032,2020/2/5
Hunan,607,2020/2/5
Inner Mongolia,39,2020/2/5
Jiangsu,318,2020/2/5
Jiangxi,521,2020/2/5
Jilin,52,2020/2/5
Liaoning,85,2020/2/5
Macau,10,2020/2/5
Ningxia,33,2020/2/5
Qinghai,14,2020/2/5
Shaanxi,159,2020/2/5
Shandong,292,2020/2/5
Shanghai,228,2020/2/5
Shanxi,76,2020/2/5
Sichuan,277,2020/2/5
Tianjin,67,2020/2/5
Tibet,1,2020/2/5
Xinjiang,32,2020/2/5
Yunnan,123,2020/2/5
Zhejiang,817,2020/2/5
Taiwan,11,2020/2/5
AnHui,557,2020/2/6
BeiJing,243,2020/2/6
Chongqing,387,2020/2/6
Fujian,201,2020/2/6
Gansu,56,2020/2/6
Guangdong,901,2020/2/6
Guangxi,154,2020/2/6
Guizhou,65,2020/2/6
Hainan,98,2020/2/6
Hebei,144,2020/2/6
Heilongjiang,219,2020/2/6
Henan,795,2020/2/6
Hong Kong,24,2020/2/6
Hubei,21295,2020/2/6
Hunan,630,2020/2/6
Inner Mongolia,42,2020/2/6
Jiangsu,339,2020/2/6
Jiangxi,563,2020/2/6
Jilin,55,2020/2/6
Liaoning,89,2020/2/6
Macau,9,2020/2/6
Ningxia,39,2020/2/6
Qinghai,15,2020/2/6
Shaanxi,164,2020/2/6
Shandong,320,2020/2/6
Shanghai,232,2020/2/6
Shanxi,84,2020/2/6
Sichuan,290,2020/2/6
Tianjin,77,2020/2/6
Tibet,1,2020/2/6
Xinjiang,36,2020/2/6
Yunnan,126,2020/2/6
Zhejiang,860,2020/2/6
Taiwan,15,2020/2/6
AnHui,618,2020/2/7
BeiJing,264,2020/2/7
Chongqing,395,2020/2/7
Fujian,204,2020/2/7
Gansu,58,2020/2/7
Guangdong,946,2020/2/7
Guangxi,155,2020/2/7
Guizhou,75,2020/2/7
Hainan,107,2020/2/7
Hebei,150,2020/2/7
Heilongjiang,265,2020/2/7
Henan,828,2020/2/7
Hong Kong,25,2020/2/7
Hubei,23838,2020/2/7
Hunan,660,2020/2/7
Inner Mongolia,45,2020/2/7
Jiangsu,365,2020/2/7
Jiangxi,616,2020/2/7
Jilin,61,2020/2/7
Liaoning,92,2020/2/7
Macau,9,2020/2/7
Ningxia,38,2020/2/7
Qinghai,15,2020/2/7
Shaanxi,167,2020/2/7
Shandong,349,2020/2/7
Shanghai,247,2020/2/7
Shanxi,89,2020/2/7
Sichuan,302,2020/2/7
Tianjin,79,2020/2/7
Tibet,1,2020/2/7
Xinjiang,39,2020/2/7
Yunnan,126,2020/2/7
Zhejiang,883,2020/2/7
Taiwan,15,2020/2/7
AnHui,674,2020/2/8
BeiJing,281,2020/2/8
Chongqing,389,2020/2/8
Fujian,215,2020/2/8
Gansu,67,2020/2/8
Guangdong,983,2020/2/8
Guangxi,166,2020/2/8
Guizhou,82,2020/2/8
Hainan,110,2020/2/8
Hebei,165,2020/2/8
Heilongjiang,282,2020/2/8
Henan,865,2020/2/8
Hong Kong,26,2020/2/8
Hubei,25661,2020/2/8
Hunan,647,2020/2/8
Inner Mongolia,47,2020/2/8
Jiangsu,388,2020/2/8
Jiangxi,643,2020/2/8
Jilin,65,2020/2/8
Liaoning,97,2020/2/8
Macau,9,2020/2/8
Ningxia,30,2020/2/8
Qinghai,15,2020/2/8
Shaanxi,175,2020/2/8
Shandong,372,2020/2/8
Shanghai,245,2020/2/8
Shanxi,94,2020/2/8
Sichuan,304,2020/2/8
Tianjin,84,2020/2/8
Tibet,1,2020/2/8
Xinjiang,42,2020/2/8
Yunnan,121,2020/2/8
Zhejiang,873,2020/2/8
Taiwan,16,2020/2/8
AnHui,707,2020/2/9
BeiJing,289,2020/2/9
Chongqing,417,2020/2/9
Fujian,215,2020/2/9
Gansu,67,2020/2/9
Guangdong,990,2020/2/9
Guangxi,177,2020/2/9
Guizhou,92,2020/2/9
Hainan,112,2020/2/9
Hebei,172,2020/2/9
Heilongjiang,293,2020/2/9
Henan,880,2020/2/9
Hong Kong,29,2020/2/9
Hubei,27836,2020/2/9
Hunan,652,2020/2/9
Inner Mongolia,49,2020/2/9
Jiangsu,397,2020/2/9
Jiangxi,667,2020/2/9
Jilin,66,2020/2/9
Liaoning,95,2020/2/9
Macau,9,2020/2/9
Ningxia,32,2020/2/9
Qinghai,15,2020/2/9
Shaanxi,183,2020/2/9
Shandong,381,2020/2/9
Shanghai,249,2020/2/9
Shanxi,94,2020/2/9
Sichuan,315,2020/2/9
Tianjin,87,2020/2/9
Tibet,1,2020/2/9
Xinjiang,45,2020/2/9
Yunnan,123,2020/2/9
Zhejiang,874,2020/2/9
Taiwan,17,2020/2/9
AnHui,742,2020/2/10
BeiJing,293,2020/2/10
Chongqing,420,2020/2/10
Fujian,222,2020/2/10
Gansu,66,2020/2/10
Guangdong,992,2020/2/10
Guangxi,186,2020/2/10
Guizhou,99,2020/2/10
Hainan,119,2020/2/10
Hebei,177,2020/2/10
Heilongjiang,301,2020/2/10
Henan,882,2020/2/10
Hong Kong,38,2020/2/10
Hubei,29506,2020/2/10
Hunan,671,2020/2/10
Inner Mongolia,53,2020/2/10
Jiangsu,411,2020/2/10
Jiangxi,666,2020/2/10
Jilin,67,2020/2/10
Liaoning,95,2020/2/10
Macau,9,2020/2/10
Ningxia,36,2020/2/10
Qinghai,15,2020/2/10
Shaanxi,183,2020/2/10
Shandong,400,2020/2/10
Shanghai,251,2020/2/10
Shanxi,94,2020/2/10
Sichuan,325,2020/2/10
Tianjin,87,2020/2/10
Tibet,1,2020/2/10
Xinjiang,49,2020/2/10
Yunnan,130,2020/2/10
Zhejiang,850,2020/2/10
Taiwan,17,2020/2/10
AnHui,755,2020/2/11
BeiJing,294,2020/2/11
Chongqing,426,2020/2/11
Fujian,222,2020/2/11
Gansu,62,2020/2/11
Guangdong,965,2020/2/11
Guangxi,182,2020/2/11
Guizhou,110,2020/2/11
Hainan,124,2020/2/11
Hebei,191,2020/2/11
Heilongjiang,332,2020/2/11
Henan,887,2020/2/11
Hong Kong,49,2020/2/11
Hubei,30727,2020/2/11
Hunan,665,2020/2/11
Inner Mongolia,53,2020/2/11
Jiangsu,422,2020/2/11
Jiangxi,676,2020/2/11
Jilin,63,2020/2/11
Liaoning,92,2020/2/11
Macau,9,2020/2/11
Ningxia,31,2020/2/11
Qinghai,13,2020/2/11
Shaanxi,187,2020/2/11
Shandong,407,2020/2/11
Shanghai,251,2020/2/11
Shanxi,94,2020/2/11
Sichuan,332,2020/2/11
Tianjin,96,2020/2/11
Tibet,1,2020/2/11
Xinjiang,52,2020/2/11
Yunnan,133,2020/2/11
Zhejiang,847,2020/2/11
Taiwan,17,2020/2/11
AnHui,762,2020/2/12
BeiJing,296,2020/2/12
Chongqing,416,2020/2/12
Fujian,219,2020/2/12
Gansu,56,2020/2/12
Guangdong,944,2020/2/12
Guangxi,190,2020/2/12
Guizhou,115,2020/2/12
Hainan,130,2020/2/12
Hebei,197,2020/2/12
Heilongjiang,347,2020/2/12
Henan,889,2020/2/12
Hong Kong,49,2020/2/12
Hubei,30680,2020/2/12
Hunan,642,2020/2/12
Inner Mongolia,54,2020/2/12
Jiangsu,418,2020/2/12
Jiangxi,692,2020/2/12
Jilin,61,2020/2/12
Liaoning,96,2020/2/12
Macau,8,2020/2/12
Ningxia,34,2020/2/12
Qinghai,9,2020/2/12
Shaanxi,182,2020/2/12
Shandong,405,2020/2/12
Shanghai,254,2020/2/12
Shanxi,93,2020/2/12
Sichuan,344,2020/2/12
Tianjin,101,2020/2/12
Tibet,0,2020/2/12
Xinjiang,56,2020/2/12
Yunnan,128,2020/2/12
Zhejiang,810,2020/2/12
Taiwan,17,2020/2/12
AnHui,753,2020/2/13
BeiJing,297,2020/2/13
Chongqing,401,2020/2/13
Fujian,222,2020/2/13
Gansu,51,2020/2/13
Guangdong,927,2020/2/13
Guangxi,189,2020/2/13
Guizhou,108,2020/2/13
Hainan,127,2020/2/13
Hebei,197,2020/2/13
Heilongjiang,362,2020/2/13
Henan,873,2020/2/13
Hong Kong,52,2020/2/13
Hubei,44747,2020/2/13
Hunan,629,2020/2/13
Inner Mongolia,55,2020/2/13
Jiangsu,431,2020/2/13
Jiangxi,702,2020/2/13
Jilin,60,2020/2/13
Liaoning,95,2020/2/13
Macau,7,2020/2/13
Ningxia,40,2020/2/13
Qinghai,7,2020/2/13
Shaanxi,183,2020/2/13
Shandong,404,2020/2/13
Shanghai,253,2020/2/13
Shanxi,90,2020/2/13
Sichuan,347,2020/2/13
Tianjin,98,2020/2/13
Tibet,0,2020/2/13
Xinjiang,57,2020/2/13
Yunnan,129,2020/2/13
Zhejiang,785,2020/2/13
Taiwan,17,2020/2/13
AnHui,741,2020/2/14
BeiJing,292,2020/2/14
Chongqing,385,2020/2/14
Fujian,218,2020/2/14
Gansu,51,2020/2/14
Guangdong,899,2020/2/14
Guangxi,190,2020/2/14
Guizhou,112,2020/2/14
Hainan,116,2020/2/14
Hebei,196,2020/2/14
Heilongjiang,372,2020/2/14
Henan,827,2020/2/14
Hong Kong,55,2020/2/14
Hubei,49632,2020/2/14
Hunan,624,2020/2/14
Inner Mongolia,59,2020/2/14
Jiangsu,436,2020/2/14
Jiangxi,713,2020/2/14
Jilin,61,2020/2/14
Liaoning,90,2020/2/14
Macau,7,2020/2/14
Ningxia,43,2020/2/14
Qinghai,7,2020/2/14
Shaanxi,176,2020/2/14
Shandong,387,2020/2/14
Shanghai,228,2020/2/14
Shanxi,89,2020/2/14
Sichuan,349,2020/2/14
Tianjin,89,2020/2/14
Tibet,0,2020/2/14
Xinjiang,59,2020/2/14
Yunnan,126,2020/2/14
Zhejiang,752,2020/2/14
Taiwan,16,2020/2/14
